"ORDER_ID","ORDER_TMS","CUSTOMER_ID","ORDER_STATUS","STORE_ID"
792,"2021-09-13T04:00:07.171604Z",271,"COMPLETE",1
793,"2021-09-13T13:35:16.589378Z",189,"COMPLETE",1
794,"2021-09-13T14:43:07.71102Z",326,"COMPLETE",7
795,"2021-09-13T21:54:11.860987Z",33,"COMPLETE",1
796,"2021-09-14T03:49:09.408125Z",124,"COMPLETE",1
797,"2021-09-14T12:34:45.663632Z",71,"COMPLETE",1
798,"2021-09-14T20:57:11.301929Z",263,"COMPLETE",1
799,"2021-09-15T02:14:38.589428Z",332,"COMPLETE",1
800,"2021-09-15T04:15:57.350477Z",136,"COMPLETE",1
801,"2021-09-15T10:29:28.102273Z",344,"COMPLETE",1
802,"2021-09-15T14:51:22.725333Z",381,"COMPLETE",1
803,"2021-09-16T00:59:07.298134Z",299,"COMPLETE",9
804,"2021-09-16T01:50:55.331837Z",107,"COMPLETE",1
805,"2021-09-16T03:24:41.791705Z",182,"COMPLETE",1
806,"2021-09-16T16:02:36.192734Z",63,"COMPLETE",5
807,"2021-09-16T20:21:02.742335Z",289,"COMPLETE",1
808,"2021-09-17T15:02:22.353313Z",14,"COMPLETE",1
809,"2021-09-17T21:37:42.477631Z",326,"COMPLETE",1
810,"2021-09-18T08:12:35.904514Z",66,"COMPLETE",8
811,"2021-09-18T21:04:41.210375Z",37,"COMPLETE",8
812,"2021-09-18T23:49:38.313869Z",49,"COMPLETE",1
813,"2021-09-19T01:09:22.189744Z",383,"COMPLETE",6
814,"2021-09-19T10:58:39.958788Z",169,"COMPLETE",1
815,"2021-09-19T12:48:58.570308Z",322,"COMPLETE",3
816,"2021-09-19T15:07:32.513277Z",85,"COMPLETE",1
817,"2021-09-19T16:01:13.551826Z",120,"COMPLETE",1
818,"2021-09-19T17:02:37.540134Z",204,"COMPLETE",1
819,"2021-09-19T23:19:53.704494Z",141,"COMPLETE",1
820,"2021-09-19T23:57:34.254779Z",102,"COMPLETE",1
821,"2021-09-20T01:29:22.917126Z",166,"COMPLETE",1
822,"2021-09-20T07:22:34.879259Z",54,"COMPLETE",1
823,"2021-09-20T13:41:09.486273Z",100,"COMPLETE",1
824,"2021-09-20T19:29:46.761878Z",157,"COMPLETE",12
825,"2021-09-21T09:25:10.748599Z",75,"COMPLETE",1
826,"2021-09-21T12:10:43.523498Z",28,"COMPLETE",1
827,"2021-09-21T16:09:05.747852Z",132,"COMPLETE",1
828,"2021-09-21T18:03:49.739002Z",380,"COMPLETE",3
829,"2021-09-21T20:58:21.150005Z",357,"COMPLETE",1
830,"2021-09-21T21:30:25.117459Z",222,"COMPLETE",1
831,"2021-09-21T22:38:10.508445Z",206,"COMPLETE",3
832,"2021-09-22T10:12:29.878125Z",3,"COMPLETE",3
833,"2021-09-22T14:07:46.387683Z",388,"COMPLETE",1
834,"2021-09-22T16:45:34.64736Z",77,"COMPLETE",1
835,"2021-09-22T19:44:46.434859Z",88,"COMPLETE",1
836,"2021-09-23T04:00:34.172495Z",229,"COMPLETE",1
837,"2021-09-23T10:35:27.453564Z",310,"COMPLETE",1
838,"2021-09-23T18:31:18.439301Z",213,"COMPLETE",10
839,"2021-09-24T00:55:09.647618Z",12,"COMPLETE",12
840,"2021-09-24T05:10:37.457068Z",330,"COMPLETE",1
841,"2021-09-24T13:28:43.783625Z",63,"COMPLETE",5
842,"2021-09-24T14:51:32.606564Z",220,"COMPLETE",1
843,"2021-09-24T19:31:54.502758Z",363,"COMPLETE",1
844,"2021-09-24T22:57:28.430085Z",303,"COMPLETE",1
845,"2021-09-25T06:32:29.749193Z",311,"COMPLETE",1
846,"2021-09-25T09:41:08.539438Z",350,"COMPLETE",2
847,"2021-09-25T14:00:27.715942Z",37,"COMPLETE",8
848,"2021-09-25T15:02:58.589049Z",51,"COMPLETE",1
849,"2021-09-26T04:29:39.472854Z",34,"COMPLETE",1
850,"2021-09-26T05:05:32.180764Z",146,"COMPLETE",1
851,"2021-09-26T05:29:58.918586Z",289,"COMPLETE",1
852,"2021-09-26T06:00:22.730514Z",327,"COMPLETE",1
853,"2021-09-26T13:59:46.362939Z",75,"COMPLETE",1
854,"2021-09-26T15:09:25.986036Z",119,"COMPLETE",3
855,"2021-09-27T00:43:09.175222Z",268,"COMPLETE",1
856,"2021-09-27T11:30:33.005819Z",180,"CANCELLED",1
857,"2021-09-27T19:22:15.727044Z",375,"COMPLETE",1
858,"2021-09-27T21:36:02.260639Z",40,"COMPLETE",1
859,"2021-09-28T01:06:25.24667Z",109,"COMPLETE",1
860,"2021-09-28T04:38:00.949742Z",346,"COMPLETE",1
861,"2021-09-28T08:35:00.90749Z",335,"COMPLETE",1
862,"2021-09-29T01:30:09.602519Z",7,"COMPLETE",7
863,"2021-09-29T06:06:24.23494Z",239,"COMPLETE",7
864,"2021-09-29T07:40:39.620064Z",153,"COMPLETE",8
865,"2021-09-29T09:05:25.029499Z",364,"COMPLETE",1
866,"2021-09-29T19:39:01.710916Z",324,"COMPLETE",1
867,"2021-09-29T19:57:16.870456Z",99,"COMPLETE",1
868,"2021-09-30T03:11:40.392952Z",185,"COMPLETE",1
869,"2021-09-30T03:20:54.070037Z",261,"COMPLETE",1
870,"2021-09-30T03:30:18.925604Z",97,"COMPLETE",1
871,"2021-09-30T09:06:20.589936Z",292,"COMPLETE",1
872,"2021-09-30T09:30:39.448767Z",332,"COMPLETE",1
873,"2021-09-30T21:49:22.678804Z",182,"COMPLETE",8
874,"2021-10-01T01:37:02.762041Z",281,"COMPLETE",1
875,"2021-10-01T02:31:38.370994Z",90,"COMPLETE",1
876,"2021-10-01T06:48:31.580309Z",349,"COMPLETE",1
877,"2021-10-01T16:01:35.073518Z",122,"COMPLETE",6
